Date,Rate
05-Jan-00,5
12-Jan-00,5
19-Jan-00,5
26-Jan-00,5
02-Feb-00,5
09-Feb-00,5.25
16-Feb-00,5.25
23-Feb-00,5.25
01-Mar-00,5.25
08-Mar-00,5.25
15-Mar-00,5.25
22-Mar-00,5.5
29-Mar-00,5.5
05-Apr-00,5.5
12-Apr-00,5.5
19-Apr-00,5.5
26-Apr-00,5.5
03-May-00,5.5
10-May-00,5.5
17-May-00,6
24-May-00,6
31-May-00,6
07-Jun-00,6
14-Jun-00,6
21-Jun-00,6
28-Jun-00,6
05-Jul-00,6
12-Jul-00,6
19-Jul-00,6
26-Jul-00,6
02-Aug-00,6
09-Aug-00,6
16-Aug-00,6
23-Aug-00,6
30-Aug-00,6
06-Sep-00,6
13-Sep-00,6
20-Sep-00,6
27-Sep-00,6
04-Oct-00,6
11-Oct-00,6
18-Oct-00,6
25-Oct-00,6
01-Nov-00,6
08-Nov-00,6
15-Nov-00,6
22-Nov-00,6
29-Nov-00,6
06-Dec-00,6
13-Dec-00,6
20-Dec-00,6
27-Dec-00,6
03-Jan-01,6
10-Jan-01,6
17-Jan-01,6
24-Jan-01,5.75
31-Jan-01,5.75
07-Feb-01,5.75
14-Feb-01,5.75
21-Feb-01,5.75
28-Feb-01,5.75
07-Mar-01,5.25
14-Mar-01,5.25
21-Mar-01,5.25
28-Mar-01,5.25
04-Apr-01,5.25
11-Apr-01,5.25
18-Apr-01,5
25-Apr-01,5
02-May-01,5
09-May-01,5
16-May-01,5
23-May-01,5
30-May-01,4.75
06-Jun-01,4.75
13-Jun-01,4.75
20-Jun-01,4.75
27-Jun-01,4.75
04-Jul-01,4.75
11-Jul-01,4.75
18-Jul-01,4.5
25-Jul-01,4.5
01-Aug-01,4.5
08-Aug-01,4.5
15-Aug-01,4.5
22-Aug-01,4.5
29-Aug-01,4.25
05-Sep-01,4.25
12-Sep-01,4.25
19-Sep-01,3.75
26-Sep-01,3.75
03-Oct-01,3.75
10-Oct-01,3.75
17-Oct-01,3.75
24-Oct-01,3
31-Oct-01,3
07-Nov-01,3
14-Nov-01,3
21-Nov-01,3
28-Nov-01,2.5
05-Dec-01,2.5
12-Dec-01,2.5
19-Dec-01,2.5
26-Dec-01,2.5
02-Jan-02,2.5
09-Jan-02,2.5
16-Jan-02,2.25
23-Jan-02,2.25
30-Jan-02,2.25
06-Feb-02,2.25
13-Feb-02,2.25
20-Feb-02,2.25
27-Feb-02,2.25
06-Mar-02,2.25
13-Mar-02,2.25
20-Mar-02,2.25
27-Mar-02,2.25
03-Apr-02,2.25
10-Apr-02,2.25
17-Apr-02,2.5
24-Apr-02,2.5
01-May-02,2.5
08-May-02,2.5
15-May-02,2.5
22-May-02,2.5
29-May-02,2.5
05-Jun-02,2.75
12-Jun-02,2.75
19-Jun-02,2.75
26-Jun-02,2.75
03-Jul-02,2.75
10-Jul-02,2.75
17-Jul-02,3
24-Jul-02,3
31-Jul-02,3
07-Aug-02,3
14-Aug-02,3
21-Aug-02,3
28-Aug-02,3
04-Sep-02,3
11-Sep-02,3
18-Sep-02,3
25-Sep-02,3
02-Oct-02,3
09-Oct-02,3
16-Oct-02,3
23-Oct-02,3
30-Oct-02,3
06-Nov-02,3
13-Nov-02,3
20-Nov-02,3
27-Nov-02,3
04-Dec-02,3
11-Dec-02,3
18-Dec-02,3
25-Dec-02,3
01-Jan-03,3
08-Jan-03,3
15-Jan-03,3
22-Jan-03,3
29-Jan-03,3
05-Feb-03,3
12-Feb-03,3
19-Feb-03,3
26-Feb-03,3
05-Mar-03,3.25
12-Mar-03,3.25
19-Mar-03,3.25
26-Mar-03,3.25
02-Apr-03,3.25
09-Apr-03,3.25
16-Apr-03,3.5
23-Apr-03,3.5
30-Apr-03,3.5
07-May-03,3.5
14-May-03,3.5
21-May-03,3.5
28-May-03,3.5
04-Jun-03,3.5
11-Jun-03,3.5
18-Jun-03,3.5
25-Jun-03,3.5
02-Jul-03,3.5
09-Jul-03,3.5
16-Jul-03,3.25
23-Jul-03,3.25
30-Jul-03,3.25
06-Aug-03,3.25
13-Aug-03,3.25
20-Aug-03,3.25
27-Aug-03,3.25
03-Sep-03,3
10-Sep-03,3
17-Sep-03,3
24-Sep-03,3
01-Oct-03,3
08-Oct-03,3
15-Oct-03,3
22-Oct-03,3
29-Oct-03,3
05-Nov-03,3
12-Nov-03,3
19-Nov-03,3
26-Nov-03,3
03-Dec-03,3
10-Dec-03,3
17-Dec-03,3
24-Dec-03,3
31-Dec-03,3
07-Jan-04,3
14-Jan-04,3
21-Jan-04,2.75
28-Jan-04,2.75
04-Feb-04,2.75
11-Feb-04,2.75
18-Feb-04,2.75
25-Feb-04,2.75
03-Mar-04,2.5
10-Mar-04,2.5
17-Mar-04,2.5
24-Mar-04,2.5
31-Mar-04,2.5
07-Apr-04,2.5
14-Apr-04,2.25
21-Apr-04,2.25
28-Apr-04,2.25
05-May-04,2.25
12-May-04,2.25
19-May-04,2.25
26-May-04,2.25
02-Jun-04,2.25
09-Jun-04,2.25
16-Jun-04,2.25
23-Jun-04,2.25
30-Jun-04,2.25
07-Jul-04,2.25
14-Jul-04,2.25
21-Jul-04,2.25
28-Jul-04,2.25
04-Aug-04,2.25
11-Aug-04,2.25
18-Aug-04,2.25
25-Aug-04,2.25
01-Sep-04,2.25
08-Sep-04,2.5
15-Sep-04,2.5
22-Sep-04,2.5
29-Sep-04,2.5
06-Oct-04,2.5
13-Oct-04,2.5
20-Oct-04,2.75
27-Oct-04,2.75
03-Nov-04,2.75
10-Nov-04,2.75
17-Nov-04,2.75
24-Nov-04,2.75
01-Dec-04,2.75
08-Dec-04,2.75
15-Dec-04,2.75
22-Dec-04,2.75
29-Dec-04,2.75
05-Jan-05,2.75
12-Jan-05,2.75
19-Jan-05,2.75
26-Jan-05,2.75
02-Feb-05,2.75
09-Feb-05,2.75
16-Feb-05,2.75
23-Feb-05,2.75
02-Mar-05,2.75
09-Mar-05,2.75
16-Mar-05,2.75
23-Mar-05,2.75
30-Mar-05,2.75
06-Apr-05,2.75
13-Apr-05,2.75
20-Apr-05,2.75
27-Apr-05,2.75
04-May-05,2.75
11-May-05,2.75
18-May-05,2.75
25-May-05,2.75
01-Jun-05,2.75
08-Jun-05,2.75
15-Jun-05,2.75
22-Jun-05,2.75
29-Jun-05,2.75
06-Jul-05,2.75
13-Jul-05,2.75
20-Jul-05,2.75
27-Jul-05,2.75
03-Aug-05,2.75
10-Aug-05,2.75
17-Aug-05,2.75
24-Aug-05,2.75
31-Aug-05,2.75
07-Sep-05,3
14-Sep-05,3
21-Sep-05,3
28-Sep-05,3
05-Oct-05,3
12-Oct-05,3
19-Oct-05,3.25
26-Oct-05,3.25
02-Nov-05,3.25
09-Nov-05,3.25
16-Nov-05,3.25
23-Nov-05,3.25
30-Nov-05,3.25
07-Dec-05,3.5
14-Dec-05,3.5
21-Dec-05,3.5
28-Dec-05,3.5
04-Jan-06,3.5
11-Jan-06,3.5
18-Jan-06,3.5
25-Jan-06,3.75
01-Feb-06,3.75
08-Feb-06,3.75
15-Feb-06,3.75
22-Feb-06,3.75
01-Mar-06,3.75
08-Mar-06,4
15-Mar-06,4
22-Mar-06,4
29-Mar-06,4
05-Apr-06,4
12-Apr-06,4
19-Apr-06,4
26-Apr-06,4.25
03-May-06,4.25
10-May-06,4.25
17-May-06,4.25
24-May-06,4.5
31-May-06,4.5
07-Jun-06,4.5
14-Jun-06,4.5
21-Jun-06,4.5
28-Jun-06,4.5
05-Jul-06,4.5
12-Jul-06,4.5
19-Jul-06,4.5
26-Jul-06,4.5
02-Aug-06,4.5
09-Aug-06,4.5
16-Aug-06,4.5
23-Aug-06,4.5
30-Aug-06,4.5
06-Sep-06,4.5
13-Sep-06,4.5
20-Sep-06,4.5
27-Sep-06,4.5
04-Oct-06,4.5
11-Oct-06,4.5
18-Oct-06,4.5
25-Oct-06,4.5
01-Nov-06,4.5
08-Nov-06,4.5
15-Nov-06,4.5
22-Nov-06,4.5
29-Nov-06,4.5
06-Dec-06,4.5
13-Dec-06,4.5
20-Dec-06,4.5
27-Dec-06,4.5
03-Jan-07,4.5
10-Jan-07,4.5
17-Jan-07,4.5
24-Jan-07,4.5
31-Jan-07,4.5
07-Feb-07,4.5
14-Feb-07,4.5
21-Feb-07,4.5
28-Feb-07,4.5
07-Mar-07,4.5
14-Mar-07,4.5
21-Mar-07,4.5
28-Mar-07,4.5
04-Apr-07,4.5
11-Apr-07,4.5
18-Apr-07,4.5
25-Apr-07,4.5
02-May-07,4.5
09-May-07,4.5
16-May-07,4.5
23-May-07,4.5
30-May-07,4.5
06-Jun-07,4.5
13-Jun-07,4.5
20-Jun-07,4.5
27-Jun-07,4.5
04-Jul-07,4.5
11-Jul-07,4.75
18-Jul-07,4.75
25-Jul-07,4.75
01-Aug-07,4.75
08-Aug-07,4.75
15-Aug-07,4.75
22-Aug-07,4.75
29-Aug-07,4.75
05-Sep-07,4.75
12-Sep-07,4.75
19-Sep-07,4.75
26-Sep-07,4.75
03-Oct-07,4.75
10-Oct-07,4.75
17-Oct-07,4.75
24-Oct-07,4.75
31-Oct-07,4.75
07-Nov-07,4.75
14-Nov-07,4.75
21-Nov-07,4.75
28-Nov-07,4.75
05-Dec-07,4.5
12-Dec-07,4.5
19-Dec-07,4.5
26-Dec-07,4.5
02-Jan-08,4.5
09-Jan-08,4.5
16-Jan-08,4.5
23-Jan-08,4.25
30-Jan-08,4.25
06-Feb-08,4.25
13-Feb-08,4.25
20-Feb-08,4.25
27-Feb-08,4.25
05-Mar-08,3.75
12-Mar-08,3.75
19-Mar-08,3.75
26-Mar-08,3.75
02-Apr-08,3.75
09-Apr-08,3.75
16-Apr-08,3.75
23-Apr-08,3.25
30-Apr-08,3.25
07-May-08,3.25
14-May-08,3.25
21-May-08,3.25
28-May-08,3.25
04-Jun-08,3.25
11-Jun-08,3.25
18-Jun-08,3.25
25-Jun-08,3.25
02-Jul-08,3.25
09-Jul-08,3.25
16-Jul-08,3.25
23-Jul-08,3.25
30-Jul-08,3.25
06-Aug-08,3.25
13-Aug-08,3.25
20-Aug-08,3.25
27-Aug-08,3.25
03-Sep-08,3.25
10-Sep-08,3.25
17-Sep-08,3.25
24-Sep-08,3.25
01-Oct-08,3.25
08-Oct-08,2.75
15-Oct-08,2.75
22-Oct-08,2.5
29-Oct-08,2.5
05-Nov-08,2.5
12-Nov-08,2.5
19-Nov-08,2.5
26-Nov-08,2.5
03-Dec-08,2.5
10-Dec-08,1.75
17-Dec-08,1.75
24-Dec-08,1.75
31-Dec-08,1.75
07-Jan-09,1.75
14-Jan-09,1.75
21-Jan-09,1.25
28-Jan-09,1.25
04-Feb-09,1.25
11-Feb-09,1.25
18-Feb-09,1.25
25-Feb-09,1.25
04-Mar-09,0.75
11-Mar-09,0.75
18-Mar-09,0.75
25-Mar-09,0.75
01-Apr-09,0.75
08-Apr-09,0.75
15-Apr-09,0.75
22-Apr-09,0.5
29-Apr-09,0.5
06-May-09,0.5
13-May-09,0.5
20-May-09,0.5
27-May-09,0.5
03-Jun-09,0.5
10-Jun-09,0.5
17-Jun-09,0.5
24-Jun-09,0.5
01-Jul-09,0.5
08-Jul-09,0.5
15-Jul-09,0.5
22-Jul-09,0.5
29-Jul-09,0.5
05-Aug-09,0.5
12-Aug-09,0.5
19-Aug-09,0.5
26-Aug-09,0.5
02-Sep-09,0.5
09-Sep-09,0.5
16-Sep-09,0.5
23-Sep-09,0.5
30-Sep-09,0.5
07-Oct-09,0.5
14-Oct-09,0.5
21-Oct-09,0.5
28-Oct-09,0.5
04-Nov-09,0.5
11-Nov-09,0.5
18-Nov-09,0.5
25-Nov-09,0.5
02-Dec-09,0.5
09-Dec-09,0.5
16-Dec-09,0.5
23-Dec-09,0.5
30-Dec-09,0.5
06-Jan-10,0.5
13-Jan-10,0.5
20-Jan-10,0.5
27-Jan-10,0.5
03-Feb-10,0.5
10-Feb-10,0.5
17-Feb-10,0.5
24-Feb-10,0.5
03-Mar-10,0.5
10-Mar-10,0.5
17-Mar-10,0.5
24-Mar-10,0.5
31-Mar-10,0.5
07-Apr-10,0.5
14-Apr-10,0.5
21-Apr-10,0.5
28-Apr-10,0.5
05-May-10,0.5
12-May-10,0.5
19-May-10,0.5
26-May-10,0.5
02-Jun-10,0.75
09-Jun-10,0.75
16-Jun-10,0.75
23-Jun-10,0.75
30-Jun-10,0.75
07-Jul-10,0.75
14-Jul-10,0.75
21-Jul-10,1
28-Jul-10,1
04-Aug-10,1
11-Aug-10,1
18-Aug-10,1
25-Aug-10,1
01-Sep-10,1
08-Sep-10,1.25
15-Sep-10,1.25
22-Sep-10,1.25
29-Sep-10,1.25
06-Oct-10,1.25
13-Oct-10,1.25
20-Oct-10,1.25
27-Oct-10,1.25
03-Nov-10,1.25
10-Nov-10,1.25
17-Nov-10,1.25
24-Nov-10,1.25
01-Dec-10,1.25
08-Dec-10,1.25
15-Dec-10,1.25
22-Dec-10,1.25
29-Dec-10,1.25
05-Jan-11,1.25
12-Jan-11,1.25
19-Jan-11,1.25
26-Jan-11,1.25
02-Feb-11,1.25
09-Feb-11,1.25
16-Feb-11,1.25
23-Feb-11,1.25
02-Mar-11,1.25
09-Mar-11,1.25
16-Mar-11,1.25
23-Mar-11,1.25
30-Mar-11,1.25
06-Apr-11,1.25
13-Apr-11,1.25
20-Apr-11,1.25
27-Apr-11,1.25
04-May-11,1.25
11-May-11,1.25
18-May-11,1.25
25-May-11,1.25
01-Jun-11,1.25
08-Jun-11,1.25
15-Jun-11,1.25
22-Jun-11,1.25
29-Jun-11,1.25
06-Jul-11,1.25
13-Jul-11,1.25
20-Jul-11,1.25
27-Jul-11,1.25
03-Aug-11,1.25
10-Aug-11,1.25
17-Aug-11,1.25
24-Aug-11,1.25
31-Aug-11,1.25
07-Sep-11,1.25
14-Sep-11,1.25
21-Sep-11,1.25
28-Sep-11,1.25
05-Oct-11,1.25
12-Oct-11,1.25
19-Oct-11,1.25
26-Oct-11,1.25
02-Nov-11,1.25
09-Nov-11,1.25
16-Nov-11,1.25
23-Nov-11,1.25
30-Nov-11,1.25
07-Dec-11,1.25
14-Dec-11,1.25
21-Dec-11,1.25
28-Dec-11,1.25
04-Jan-12,1.25
11-Jan-12,1.25
18-Jan-12,1.25
25-Jan-12,1.25
01-Feb-12,1.25
08-Feb-12,1.25
15-Feb-12,1.25
22-Feb-12,1.25
29-Feb-12,1.25
07-Mar-12,1.25
14-Mar-12,1.25
21-Mar-12,1.25
28-Mar-12,1.25
04-Apr-12,1.25
11-Apr-12,1.25
18-Apr-12,1.25
25-Apr-12,1.25
02-May-12,1.25
09-May-12,1.25
16-May-12,1.25
23-May-12,1.25
30-May-12,1.25
06-Jun-12,1.25
13-Jun-12,1.25
20-Jun-12,1.25
27-Jun-12,1.25
04-Jul-12,1.25
11-Jul-12,1.25
18-Jul-12,1.25
25-Jul-12,1.25
01-Aug-12,1.25
08-Aug-12,1.25
15-Aug-12,1.25
22-Aug-12,1.25
29-Aug-12,1.25
05-Sep-12,1.25
12-Sep-12,1.25
19-Sep-12,1.25
26-Sep-12,1.25
03-Oct-12,1.25
10-Oct-12,1.25
17-Oct-12,1.25
24-Oct-12,1.25
31-Oct-12,1.25
07-Nov-12,1.25
14-Nov-12,1.25
21-Nov-12,1.25
28-Nov-12,1.25
05-Dec-12,1.25
12-Dec-12,1.25
19-Dec-12,1.25
26-Dec-12,1.25
02-Jan-13,1.25
09-Jan-13,1.25
16-Jan-13,1.25
23-Jan-13,1.25
30-Jan-13,1.25
06-Feb-13,1.25
13-Feb-13,1.25
20-Feb-13,1.25
27-Feb-13,1.25
06-Mar-13,1.25
13-Mar-13,1.25
20-Mar-13,1.25
27-Mar-13,1.25
03-Apr-13,1.25
10-Apr-13,1.25
17-Apr-13,1.25
24-Apr-13,1.25
01-May-13,1.25
08-May-13,1.25
15-May-13,1.25
22-May-13,1.25
29-May-13,1.25
05-Jun-13,1.25
12-Jun-13,1.25
19-Jun-13,1.25
26-Jun-13,1.25
03-Jul-13,1.25
10-Jul-13,1.25
17-Jul-13,1.25
24-Jul-13,1.25
31-Jul-13,1.25
07-Aug-13,1.25
14-Aug-13,1.25
21-Aug-13,1.25
28-Aug-13,1.25
04-Sep-13,1.25
11-Sep-13,1.25
18-Sep-13,1.25
25-Sep-13,1.25
02-Oct-13,1.25
09-Oct-13,1.25
16-Oct-13,1.25
23-Oct-13,1.25
30-Oct-13,1.25
06-Nov-13,1.25
13-Nov-13,1.25
20-Nov-13,1.25
27-Nov-13,1.25
04-Dec-13,1.25
11-Dec-13,1.25
18-Dec-13,1.25
25-Dec-13,1.25
01-Jan-14,1.25
08-Jan-14,1.25
15-Jan-14,1.25
22-Jan-14,1.25
29-Jan-14,1.25
