,Date,Rate
0,2000-01-01,5.0
1,2000-02-01,5.1875
2,2000-03-01,5.35
3,2000-04-01,5.5
4,2000-05-01,5.8
5,2000-06-01,6.0
6,2000-07-01,6.0
7,2000-08-01,6.0
8,2000-09-01,6.0
9,2000-10-01,6.0
10,2000-11-01,6.0
11,2000-12-01,6.0
12,2001-01-01,5.9
13,2001-02-01,5.75
14,2001-03-01,5.25
15,2001-04-01,5.125
16,2001-05-01,4.95
17,2001-06-01,4.75
18,2001-07-01,4.625
19,2001-08-01,4.45
20,2001-09-01,4.0
21,2001-10-01,3.45
22,2001-11-01,2.875
23,2001-12-01,2.5
24,2002-01-01,2.35
25,2002-02-01,2.25
26,2002-03-01,2.25
27,2002-04-01,2.375
28,2002-05-01,2.5
29,2002-06-01,2.75
30,2002-07-01,2.9
31,2002-08-01,3.0
32,2002-09-01,3.0
33,2002-10-01,3.0
34,2002-11-01,3.0
35,2002-12-01,3.0
36,2003-01-01,3.0
37,2003-02-01,3.0
38,2003-03-01,3.25
39,2003-04-01,3.4
40,2003-05-01,3.5
41,2003-06-01,3.5
42,2003-07-01,3.35
43,2003-08-01,3.25
44,2003-09-01,3.0
45,2003-10-01,3.0
46,2003-11-01,3.0
47,2003-12-01,3.0
48,2004-01-01,2.875
49,2004-02-01,2.75
50,2004-03-01,2.5
51,2004-04-01,2.3125
52,2004-05-01,2.25
53,2004-06-01,2.25
54,2004-07-01,2.25
55,2004-08-01,2.25
56,2004-09-01,2.45
57,2004-10-01,2.625
58,2004-11-01,2.75
59,2004-12-01,2.75
60,2005-01-01,2.75
61,2005-02-01,2.75
62,2005-03-01,2.75
63,2005-04-01,2.75
64,2005-05-01,2.75
65,2005-06-01,2.75
66,2005-07-01,2.75
67,2005-08-01,2.75
68,2005-09-01,3.0
69,2005-10-01,3.125
70,2005-11-01,3.25
71,2005-12-01,3.5
72,2006-01-01,3.5625
73,2006-02-01,3.75
74,2006-03-01,3.95
75,2006-04-01,4.0625
76,2006-05-01,4.35
77,2006-06-01,4.5
78,2006-07-01,4.5
79,2006-08-01,4.5
80,2006-09-01,4.5
81,2006-10-01,4.5
82,2006-11-01,4.5
83,2006-12-01,4.5
84,2007-01-01,4.5
85,2007-02-01,4.5
86,2007-03-01,4.5
87,2007-04-01,4.5
88,2007-05-01,4.5
89,2007-06-01,4.5
90,2007-07-01,4.6875
91,2007-08-01,4.75
92,2007-09-01,4.75
93,2007-10-01,4.75
94,2007-11-01,4.75
95,2007-12-01,4.5
96,2008-01-01,4.4
97,2008-02-01,4.25
98,2008-03-01,3.75
99,2008-04-01,3.55
100,2008-05-01,3.25
101,2008-06-01,3.25
102,2008-07-01,3.25
103,2008-08-01,3.25
104,2008-09-01,3.25
105,2008-10-01,2.75
106,2008-11-01,2.5
107,2008-12-01,1.9
108,2009-01-01,1.5
109,2009-02-01,1.25
110,2009-03-01,0.75
