Date,Total (house and land),House only,Land only
2000-01-01,57.2,53.7,66.8E
2000-02-01,57.4,54,66.8E
2000-03-01,57.5,54.1,66.9E
2000-04-01,57.6,54.2,66.9E
2000-05-01,57.8,54.4,67.0E
2000-06-01,57.8,54.4,67.0E
2000-07-01,57.9,54.5,67.1E
2000-08-01,58.1,54.7,67.2E
2000-09-01,58.2,54.9,67.3E
2000-10-01,58.3,55,67.4E
2000-11-01,58.5,55.3,67.4E
2000-12-01,58.6,55.3,67.4E
2001-01-01,58.7,55.5,67.4E
2001-02-01,58.8,55.7,67.5E
2001-03-01,59,55.9,67.5E
2001-04-01,59.2,56.1,67.6E
2001-05-01,59.3,56.2,67.7E
2001-06-01,59.5,56.5,67.8E
2001-07-01,59.6,56.7,67.8E
2001-08-01,59.7,56.8,67.8E
2001-09-01,59.9,56.9,67.8E
2001-10-01,59.9,57,67.9E
2001-11-01,60.1,57.2,68.0E
2001-12-01,60.2,57.3,67.9E
2002-01-01,60.4,57.6,68.0E
2002-02-01,60.8,58.1,68.1E
2002-03-01,61,58.3,68.2E
2002-04-01,61.4,58.9,68.3E
2002-05-01,61.8,59.3,68.5E
2002-06-01,61.9,59.5,68.5E
2002-07-01,62,59.6,68.5E
2002-08-01,62.3,59.9,68.7E
2002-09-01,62.4,60.1,68.7E
2002-10-01,62.7,60.6,68.8E
2002-11-01,63.1,61.1,68.9E
2002-12-01,63.3,61.2,69.0E
2003-01-01,63.4,61.5,69.1E
2003-02-01,63.8,62,69.1E
2003-03-01,63.9,62,69.1E
2003-04-01,64.1,62.3,69.2E
2003-05-01,64.5,62.7,69.4E
2003-06-01,64.7,62.9,69.5E
2003-07-01,64.9,63.2,69.5E
2003-08-01,65.2,63.6,69.7E
2003-09-01,65.5,63.9,69.9E
2003-10-01,65.8,64.3,70.0E
2003-11-01,66.3,64.9,70.0E
2003-12-01,66.5,65.1,70.1E
2004-01-01,66.7,65.3,70.2E
2004-02-01,66.9,65.7,70.3E
2004-03-01,67.2,65.9,70.5E
2004-04-01,67.7,66.5,70.9E
2004-05-01,68.2,67.1,71.2E
2004-06-01,68.7,67.6,71.7E
2004-07-01,68.8,67.7,71.8E
2004-08-01,69.1,68,72.1E
2004-09-01,69.3,68.2,72.3E
2004-10-01,69.5,68.5,72.4E
2004-11-01,69.8,68.8,72.6E
2004-12-01,69.9,68.9,72.9E
2005-01-01,70.1,69.1,73.0E
2005-02-01,70.3,69.3,73.1E
2005-03-01,70.6,69.6,73.5E
2005-04-01,71,69.9,73.8E
2005-05-01,71.3,70.3,74.2E
2005-06-01,71.9,70.4,75.5E
2005-07-01,72,70.6,75.6E
2005-08-01,72.3,70.9,75.9E
2005-09-01,72.7,71.3,76.2E
2005-10-01,73.2,71.9,76.4E
2005-11-01,73.6,72.3,76.8E
2005-12-01,74.1,72.8,77.1E
2006-01-01,74.7,73.6,77.4E
2006-02-01,75.2,74.2,77.7E
2006-03-01,76,75,78.3E
2006-04-01,76.9,76.1,78.8E
2006-05-01,77.8,76.9,80.0E
2006-06-01,79,78,81.1E
2006-07-01,79.8,78.7,82.3E
2006-08-01,81,80,83.3E
2006-09-01,81.4,80.4,83.9E
2006-10-01,81.6,80.5,84.1E
2006-11-01,82,80.8,84.9E
2006-12-01,82,80.7,85.3E
2007-01-01,82.3,81,85.5E
2007-02-01,82.7,81.4,85.8E
2007-03-01,83,81.7,86.2E
2007-04-01,83.7,82.3,87.1E
2007-05-01,84.6,83.3,87.7E
2007-06-01,85.1,83.7,88.5E
2007-07-01,85.9,84.3,89.7E
2007-08-01,86.3,84.8,89.9E
2007-09-01,86.5,85.1,90.0E
2007-10-01,86.6,85.1,90.3E
2007-11-01,87,85.5,90.7E
2007-12-01,87.1,85.6,90.9E
2008-01-01,87.6,86.1,91.4E
2008-02-01,87.9,86.3,91.8E
2008-03-01,88.1,86.4,92.2E
2008-04-01,88.1,86.3,92.4E
2008-05-01,88.1,86.2,92.5E
2008-06-01,88.2,86.3,92.7E
2008-07-01,88.2,86.3,92.8E
2008-08-01,88.2,86.3,92.9E
2008-09-01,88.3,86.3,93.1E
2008-10-01,87.9,85.6,93.4E
2008-11-01,87.7,85.2,93.5E
2008-12-01,87.5,85,93.4E
2009-01-01,87,84.5,92.9E
2009-02-01,86.4,83.8,92.3E
2009-03-01,86,83.3,91.9E
2009-04-01,85.5,82.7,91.8E
2009-05-01,85.4,82.6,91.5E
2009-06-01,85.2,82.5,91.3E
2009-07-01,85.4,82.8,91.3E
2009-08-01,85.5,82.9,91.3E
2009-09-01,85.9,83.5,91.3E
2009-10-01,86.1,83.8,91.2E
2009-11-01,86.4,84.2,91.4E
